empresa,p_empresa,marca,p_marca,obra,p_obra,bloco,p_bloco,unidade,p_unidade,dt_venda,p_dt_venda_day,p_dt_venda_month,p_dt_venda_year,dt_chaves,p_dt_chaves_day,p_dt_chaves_month,p_dt_chaves_year,carteira_sd_gerencial,p_carteira_sd_gerencial,saldo_devedor,p_saldo_devedor,p_data_base_day,p_data_base_month,p_data_base_year,dias_atraso,p_dias_atraso,p_dias_atraso_category,valor_pago_atualizado,p_valor_pago_atualizado,valor_pago,p_valor_pago,vgv,p_vgv
1856,0.5865992414664981,CYRELA,1,7618,0.7671701913393756,1,1.0,126,0.0546875,2020-02-29,0.9666666666666667,0.16666666666666666,1.01,2023-05-01,0.03333333333333333,0.4166666666666667,1.0115,711211,0.054708534253189674,711210.64,0.05470850858089043,1.0,0.3333333333333333,1.0105,-32,0.027633851468048358,1,130344.93,0.011717707520453176,118065.02,0.010733183636363637,829275.66,0.0404524712195122
1856,0.5865992414664981,CYRELA,1,7618,0.7671701913393756,1,1.0,147,0.06380208333333333,2020-02-29,0.9666666666666667,0.16666666666666666,1.01,2023-05-01,0.03333333333333333,0.4166666666666667,1.0115,1209970,0.09307460822503014,1209970.47,0.09307464781547563,1.0,0.3333333333333333,1.0105,-32,0.027633851468048358,1,256297.44,0.023040546649270494,237604.45,0.021600404545454546,1447574.92,0.07061341073170731
1856,0.5865992414664981,CYRELA,1,7618,0.7671701913393756,1,1.0,151,0.06553819444444445,2020-02-27,0.9,0.16666666666666666,1.01,2023-05-01,0.03333333333333333,0.4166666666666667,1.0115,1481319,0.11394760661941487,1481318.82,0.11394759698055767,1.0,0.3333333333333333,1.0105,-32,0.027633851468048358,1,344455.59,0.03096576029006373,317624.13,0.02887492090909091,1798942.95,0.08775331463414635
1856,0.5865992414664981,CYRELA,1,7618,0.7671701913393756,1,1.0,154,0.06684027777777778,2020-06-17,0.5666666666666667,0.5,1.01,2023-05-01,0.03333333333333333,0.4166666666666667,1.0115,650817,0.05006284230285828,650816.79,0.05006282799748688,1.0,0.3333333333333333,1.0105,-32,0.027633851468048358,1,210073.84,0.018885151994929742,198405.12,0.01803682909090909,849221.91,0.041425459024390245
1856,0.5865992414664981,CYRELA,1,7618,0.7671701913393756,1,1.0,165,0.07161458333333333,2020-03-10,0.3333333333333333,0.25,1.01,2023-05-01,0.03333333333333333,0.4166666666666667,1.0115,762417,0.05864745702711869,762416.85,0.0586474476541021,1.0,0.3333333333333333,1.0105,-32,0.027633851468048358,1,104535.59,0.009397507590805487,97357.0,0.008850636363636364,859773.85,0.04194018780487805
1856,0.5865992414664981,CYRELA,1,7618,0.7671701913393756,1,1.0,167,0.0724826388888889,2020-02-29,0.9666666666666667,0.16666666666666666,1.01,2023-05-01,0.03333333333333333,0.4166666666666667,1.0115,1006795,0.07744576327340283,1006795.07,0.07744577151755376,1.0,0.3333333333333333,1.0105,-32,0.027633851468048358,1,386729.09,0.0347660500970081,350441.82,0.03185834727272727,1357236.89,0.0662066775609756
1856,0.5865992414664981,CYRELA,1,7618,0.7671701913393756,1,1.0,168,0.07291666666666667,2020-03-09,0.3,0.25,1.01,2023-05-01,0.03333333333333333,0.4166666666666667,1.0115,736992,0.05669168794679323,736992.46,0.05669172542463868,1.0,0.3333333333333333,1.0105,-32,0.027633851468048358,1,650000.87,0.058433573769997096,593193.31,0.05392666454545455,1330185.77,0.06488711073170732
1856,0.5865992414664981,CYRELA,1,7618,0.7671701913393756,1,1.0,176,0.0763888888888889,2020-09-30,1.0,0.75,1.01,2023-05-01,0.03333333333333333,0.4166666666666667,1.0115,750647,0.05774207248137904,750646.74,0.05774205461339474,1.0,0.3333333333333333,1.0105,-32,0.027633851468048358,1,104018.11,0.009350987336525677,98451.36,0.008950123636363636,849098.1,0.04141941951219512
1856,0.5865992414664981,CYRELA,1,7618,0.7671701913393756,1,1.0,186,0.08072916666666667,2020-08-31,1.0333333333333334,0.6666666666666666,1.01,2023-05-01,0.03333333333333333,0.4166666666666667,1.0115,467444,0.035957228003290154,467443.93,0.03595722394632643,1.0,0.3333333333333333,1.0105,-32,0.027633851468048358,1,339957.78,0.030561417581355617,317459.18,0.028859925454545455,784903.11,0.03828795658536585
1856,0.5865992414664981,CYRELA,1,7618,0.7671701913393756,1,1.0,187,0.08116319444444445,2020-02-29,0.9666666666666667,0.16666666666666666,1.01,2023-05-01,0.03333333333333333,0.4166666666666667,1.0115,1236908,0.09514676191178754,1236907.91,0.09514675850182197,1.0,0.3333333333333333,1.0105,-32,0.027633851468048358,1,173140.16,0.015564899646840628,159318.77,0.014483524545454544,1396226.68,0.06810861853658537
1856,0.5865992414664981,CYRELA,1,7618,0.7671701913393756,1,1.0,191,0.08289930555555555,2020-02-29,0.9666666666666667,0.16666666666666666,1.01,2023-05-01,0.03333333333333333,0.4166666666666667,1.0115,1452121,0.11170160679218409,1452121.17,0.1117016239934735,1.0,0.3333333333333333,1.0105,-32,0.027633851468048358,1,417605.0,0.03754172294295489,382996.82,0.03481789272727273,1835117.99,0.08951795073170732
1856,0.5865992414664981,CYRELA,1,7618,0.7671701913393756,1,1.0,192,0.08333333333333333,2020-08-31,1.0333333333333334,0.6666666666666666,1.01,2023-05-01,0.03333333333333333,0.4166666666666667,1.0115,1307605,0.10058499226269291,1307604.62,0.10058496674583212,1.0,0.3333333333333333,1.0105,-32,0.027633851468048358,1,429780.43,0.03863626591962265,395964.31,0.035996755454545455,1703568.93,0.08310092341463414
1856,0.5865992414664981,CYRELA,1,7618,0.7671701913393756,1,1.0,193,0.0837673611111111,2020-02-29,0.9666666666666667,0.16666666666666666,1.01,2023-05-01,0.03333333333333333,0.4166666666666667,1.0115,714323,0.05494791885016009,714322.65,0.0549478939559304,1.0,0.3333333333333333,1.0105,-32,0.027633851468048358,1,163452.38,0.014693990647445747,150370.81,0.013670073636363637,864693.46,0.0421801687804878
